node_id_org,node_id_dest,distance,highway,oneway,max_speed,lanes,width,bridge,tunnel,surface,service,foot,bicycle
1096527225,1096526692,49.380515,unclassified,,,,,,,,,,
1096527232,1093626272,69.835742,unclassified,,,,,,,,,,
1096527388,1096527459,50.076142,unclassified,,,,,,,,,,
1096527459,5676310266,58.064111,unclassified,,,,,,,,,,
5676310266,1096527401,8.847245,unclassified,,,,,,,,,,
1096527401,1096527306,34.545983,unclassified,,,,,,,,,,
1093626771,1096527027,40.807435,unclassified,,,,,,,,,,
1096527027,1096527634,14.154344,unclassified,,,,,,,,,,
1096527634,1096527095,24.149329,unclassified,,,,,,,,,,
1096527095,1096526929,40.480764,unclassified,,,,,,,,,,
1096526929,1096527342,3.171073,unclassified,,,,,,,,,,
1096527342,1096527744,42.077858,unclassified,,,,,,,,,,
1096527744,1096527852,19.567458,unclassified,,,,,,,,,,
1096527852,1096527860,18.109116,unclassified,,,,,,,,,,
1096527860,1096527851,29.606893,unclassified,,,,,,,,,,
1096527851,1096526964,42.703139,unclassified,,,,,,,,,,
1096526964,1096527717,18.728728,unclassified,,,,,,,,,,
1096527031,1096527006,72.469668,unclassified,,,,,,,,,,
1096527006,1096526696,43.667230,unclassified,,,,,,,,,,
1093626477,1096527308,65.355108,unclassified,,,,,,,,,,
1096527308,1096527668,8.339542,unclassified,,,,,,,,,,
1096527763,1096526772,46.091110,unclassified,,,,,,,,,,
1097906563,1097906677,97.220718,unclassified,,,,,,,,,,
1097906677,1097906790,61.608332,unclassified,,,,,,,,,,
1097906790,1097906787,106.672592,unclassified,,,,,,,,,,
1097906787,1097906587,111.417825,unclassified,,,,,,,,,,
1097906587,1160435108,8.109794,unclassified,,,,,,,,,,
1094547153,2087227175,173.976061,tertiary,,,,,,,,,,
2087227175,1097906744,74.530496,tertiary,,,,,,,,,,
